lineage,parent,children
A,,A
A,,A.1
A,,A.2
A,,A.2.1
A,,A.2.2
A,,A.2.3
A,,A.2.4
A,,A.2.5
A,,A.2.5.1
A,,A.2.5.2
A,,A.2.5.3
A,,A.3
A,,A.4
A,,A.5
A,,A.6
A,,A.7
A,,A.8
A,,A.9
A,,A.10
A,,A.11
A,,A.12
A,,A.13
A,,A.14
A,,A.15
A,,A.16
A,,A.17
A,,A.18
A,,A.19
A,,A.20
A,,A.21
A,,A.22
A,,A.23
A,,A.23.1
A,,A.24
A,,A.25
A,,A.26
A,,A.27
A,,A.28
A,,A.29
A,,A.30
A,,B
A,,B.1
A,,B.1.1
A,,B.1.1.1
A,,B.1.1.2
A,,B.1.1.3
A,,B.1.1.4
A,,B.1.1.5
A,,B.1.1.6
A,,B.1.1.7
A,,B.1.1.8
A,,B.1.1.10
A,,B.1.1.12
A,,B.1.1.13
A,,B.1.1.14
A,,B.1.1.15
A,,B.1.1.16
A,,B.1.1.17
A,,B.1.1.20
A,,B.1.1.25
A,,B.1.1.26
A,,B.1.1.27
A,,B.1.1.28
A,,B.1.1.29
A,,B.1.1.30
A,,B.1.1.31
A,,B.1.1.32
A,,B.1.1.33
A,,B.1.1.34
A,,B.1.1.35
A,,B.1.1.36
A,,B.1.1.37
A,,B.1.1.38
A,,B.1.1.39
A,,B.1.1.40
A,,B.1.1.41
A,,B.1.1.43
A,,B.1.1.44
A,,B.1.1.45
A,,B.1.1.46
A,,B.1.1.47
A,,B.1.1.48
A,,B.1.1.49
A,,B.1.1.50
A,,B.1.1.51
A,,B.1.1.52
A,,B.1.1.53
A,,B.1.1.54
A,,B.1.1.55
A,,B.1.1.56
A,,B.1.1.57
A,,B.1.1.58
A,,B.1.1.59
A,,B.1.1.60
A,,B.1.1.61
A,,B.1.1.62
A,,B.1.1.63
A,,B.1.1.64
A,,B.1.1.65
A,,B.1.1.66
A,,B.1.1.67
A,,B.1.1.70
A,,B.1.1.71
A,,B.1.1.72
A,,B.1.1.73
A,,B.1.1.74
A,,B.1.1.75
A,,B.1.1.76
A,,B.1.1.77
A,,B.1.1.78
A,,B.1.1.79
A,,B.1.1.80
A,,B.1.1.81
A,,B.1.1.82
A,,B.1.1.83
A,,B.1.1.84
A,,B.1.1.85
A,,B.1.1.86
A,,B.1.1.87
A,,B.1.1.88
A,,B.1.1.89
A,,B.1.1.90
A,,B.1.1.91
A,,B.1.1.92
A,,B.1.1.93
A,,B.1.1.94
A,,B.1.1.95
A,,B.1.1.96
A,,B.1.1.97
A,,B.1.1.98
A,,B.1.1.99
A,,B.1.1.100
A,,B.1.1.101
A,,B.1.1.102
A,,B.1.1.103
A,,B.1.1.104
A,,B.1.1.105
A,,B.1.1.106
A,,B.1.1.107
A,,B.1.1.108
A,,B.1.1.109
A,,B.1.1.110
A,,B.1.1.111
A,,B.1.1.112
A,,B.1.1.113
A,,B.1.1.114
A,,B.1.1.115
A,,B.1.1.116
A,,B.1.1.117
A,,B.1.1.118
A,,B.1.1.119
A,,B.1.1.120
A,,B.1.1.121
A,,B.1.1.122
A,,B.1.1.123
A,,B.1.1.124
A,,B.1.1.125
A,,B.1.1.126
A,,B.1.1.127
A,,B.1.1.128
A,,B.1.1.129
A,,B.1.1.130
A,,B.1.1.131
A,,B.1.1.132
A,,B.1.1.133
A,,B.1.1.134
A,,B.1.1.135
A,,B.1.1.136
A,,B.1.1.137
A,,B.1.1.138
A,,B.1.1.139
A,,B.1.1.140
A,,B.1.1.141
A,,B.1.1.142
A,,B.1.1.143
A,,B.1.1.144
A,,B.1.1.145
A,,B.1.1.146
A,,B.1.1.147
A,,B.1.1.148
A,,B.1.1.149
A,,B.1.1.150
A,,B.1.1.151
A,,B.1.1.152
A,,B.1.1.153
A,,B.1.1.154
A,,B.1.1.155
A,,B.1.1.156
A,,B.1.1.157
A,,B.1.1.158
A,,B.1.1.159
A,,B.1.1.160
A,,B.1.1.161
A,,B.1.1.162
A,,B.1.1.163
A,,B.1.1.164
A,,B.1.1.165
A,,B.1.1.166
A,,B.1.1.167
A,,B.1.1.168
A,,B.1.1.169
A,,B.1.1.170
A,,B.1.1.171
A,,B.1.1.172
A,,B.1.1.173
A,,B.1.1.174
A,,B.1.1.175
A,,B.1.1.176
A,,B.1.1.177
A,,B.1.1.178
A,,B.1.1.179
A,,B.1.1.180
A,,B.1.1.181
A,,B.1.1.182
A,,B.1.1.183
A,,B.1.1.184
A,,B.1.1.185
A,,B.1.1.186
A,,B.1.1.187
A,,B.1.1.189
A,,B.1.1.190
A,,B.1.1.191
A,,B.1.1.192
A,,B.1.1.193
A,,B.1.1.194
A,,B.1.1.195
A,,B.1.1.196
A,,B.1.1.197
A,,B.1.1.198
A,,B.1.1.199
A,,B.1.1.200
A,,B.1.1.201
A,,B.1.1.202
A,,B.1.1.203
A,,B.1.1.204
A,,B.1.1.205
A,,B.1.1.206
A,,B.1.1.207
A,,B.1.1.208
A,,B.1.1.209
A,,B.1.1.210
A,,B.1.1.211
A,,B.1.1.212
A,,B.1.1.213
A,,B.1.1.214
A,,B.1.1.215
A,,B.1.1.216
A,,B.1.1.217
A,,B.1.1.218
A,,B.1.1.219
A,,B.1.1.220
A,,B.1.1.221
A,,B.1.1.222
A,,B.1.1.223
A,,B.1.1.224
A,,B.1.1.225
A,,B.1.1.226
A,,B.1.1.227
A,,B.1.1.231
A,,B.1.1.232
A,,B.1.1.233
A,,B.1.1.234
A,,B.1.1.235
A,,B.1.1.236
A,,B.1.1.237
A,,B.1.1.238
A,,B.1.1.239
A,,B.1.1.240
A,,B.1.1.241
A,,B.1.1.242
A,,B.1.1.243
A,,B.1.1.244
A,,B.1.1.245
A,,B.1.1.246
A,,B.1.1.247
A,,B.1.1.248
A,,B.1.1.249
A,,B.1.1.250
A,,B.1.1.251
A,,B.1.1.252
A,,B.1.1.253
A,,B.1.1.254
A,,B.1.1.255
A,,B.1.1.256
A,,B.1.1.257
A,,B.1.1.258
A,,B.1.1.259
A,,B.1.1.260
A,,B.1.1.261
A,,B.1.1.262
A,,B.1.1.263
A,,B.1.1.264
A,,B.1.1.265
A,,B.1.1.266
A,,B.1.1.267
A,,B.1.1.268
A,,B.1.1.269
A,,B.1.1.270
A,,B.1.1.271
A,,B.1.1.272
A,,B.1.1.273
A,,B.1.1.274
A,,B.1.1.275
A,,B.1.1.276
A,,B.1.1.277
A,,B.1.1.278
A,,B.1.1.279
A,,B.1.1.280
A,,B.1.1.281
A,,B.1.1.282
A,,B.1.1.283
A,,B.1.1.284
A,,B.1.1.285
A,,B.1.1.286
A,,B.1.1.287
A,,B.1.1.288
A,,B.1.1.289
A,,B.1.1.290
A,,B.1.1.291
A,,B.1.1.292
A,,B.1.1.293
A,,B.1.1.294
A,,B.1.1.295
A,,B.1.1.296
A,,B.1.1.297
A,,B.1.1.298
A,,B.1.1.299
A,,B.1.1.300
A,,B.1.1.301
A,,B.1.1.302
A,,B.1.1.303
A,,B.1.1.304
A,,B.1.1.305
A,,B.1.1.306
A,,B.1.1.307
A,,B.1.1.308
A,,B.1.1.309
A,,B.1.1.310
A,,B.1.1.311
A,,B.1.1.312
A,,B.1.1.313
A,,B.1.1.314
A,,B.1.1.315
A,,B.1.1.316
A,,B.1.1.317
A,,B.1.1.318
A,,B.1.1.319
A,,B.1.1.320
A,,B.1.1.322
A,,B.1.1.323
A,,B.1.1.324
A,,B.1.1.325
A,,B.1.1.326
A,,B.1.1.327
A,,B.1.1.328
A,,B.1.1.329
A,,B.1.1.330
A,,B.1.1.331
A,,B.1.1.332
A,,B.1.1.333
A,,B.1.1.334
A,,B.1.1.335
A,,B.1.1.336
A,,B.1.1.337
A,,B.1.1.338
A,,B.1.1.339
A,,B.1.1.340
A,,B.1.1.341
A,,B.1.1.342
A,,B.1.1.343
A,,B.1.1.344
A,,B.1.1.345
A,,B.1.1.346
A,,B.1.1.347
A,,B.1.1.348
A,,B.1.1.349
A,,B.1.1.350
A,,B.1.1.351
A,,B.1.1.352
A,,B.1.1.353
A,,B.1.1.354
A,,B.1.1.355
A,,B.1.1.356
A,,B.1.1.357
A,,B.1.1.358
A,,B.1.1.359
A,,B.1.1.360
A,,B.1.1.361
A,,B.1.1.362
A,,B.1.1.363
A,,B.1.1.364
A,,B.1.1.365
A,,B.1.1.366
A,,B.1.1.367
A,,B.1.1.368
A,,B.1.1.369
A,,B.1.1.370
A,,B.1.1.371
A,,B.1.1.372
A,,B.1.1.373
A,,B.1.1.374
A,,B.1.1.375
A,,B.1.1.376
A,,B.1.1.377
A,,B.1.1.378
A,,B.1.1.379
A,,B.1.1.380
A,,B.1.1.381
A,,B.1.1.382
A,,B.1.1.383
A,,B.1.1.384
A,,B.1.1.385
A,,B.1.1.386
A,,B.1.1.387
A,,B.1.1.388
A,,B.1.1.389
A,,B.1.1.391
A,,B.1.1.392
A,,B.1.1.393
A,,B.1.1.394
A,,B.1.1.395
A,,B.1.1.396
A,,B.1.1.397
A,,B.1.1.398
A,,B.1.1.399
A,,B.1.1.400
A,,B.1.1.401
A,,B.1.1.402
A,,B.1.1.403
A,,B.1.1.404
A,,B.1.1.405
A,,B.1.1.406
A,,B.1.1.407
A,,B.1.1.408
A,,B.1.1.409
A,,B.1.1.410
A,,B.1.1.411
A,,B.1.1.412
A,,B.1.1.413
A,,B.1.1.414
A,,B.1.1.415
A,,B.1.1.416
A,,B.1.1.417
A,,B.1.1.418
A,,B.1.1.419
A,,B.1.1.420
A,,B.1.1.421
A,,B.1.1.422
A,,B.1.1.423
A,,B.1.1.424
A,,B.1.1.425
A,,B.1.1.426
A,,B.1.1.427
A,,B.1.1.428
A,,B.1.1.429
A,,B.1.1.430
A,,B.1.1.431
A,,B.1.1.432
A,,B.1.1.433
A,,B.1.1.434
A,,B.1.1.435
A,,B.1.1.436
A,,B.1.1.437
A,,B.1.1.438
A,,B.1.1.439
A,,B.1.1.440
A,,B.1.1.441
A,,B.1.1.442
A,,B.1.1.444
A,,B.1.1.445
A,,B.1.1.446
A,,B.1.1.447
A,,B.1.1.448
A,,B.1.1.449
A,,B.1.1.450
A,,B.1.1.451
A,,B.1.1.452
A,,B.1.1.453
A,,B.1.1.456
A,,B.1.1.458
A,,B.1.1.459
A,,B.1.1.461
A,,B.1.1.462
A,,B.1.1.463
A,,B.1.1.464
A,,B.1.1.465
A,,B.1.1.466
A,,B.1.1.467
A,,B.1.1.480
A,,B.1.1.481
A,,B.1.1.482
A,,B.1.1.483
A,,B.1.1.484
A,,B.1.1.485
A,,B.1.1.486
A,,B.1.1.487
A,,B.1.1.500
A,,B.1.1.506
A,,B.1.1.507
A,,B.1.1.512
A,,B.1.1.513
A,,B.1.1.514
A,,B.1.1.515
A,,B.1.1.516
A,,B.1.1.517
A,,B.1.1.518
A,,B.1.1.519
A,,B.1.1.521
A,,B.1.1.522
A,,B.1.1.523
A,,B.1.1.524
A,,B.1.1.525
A,,B.1.1.526
A,,B.1.1.527
A,,B.1.1.528
A,,B.1.1.529
A,,B.1.2
A,,B.1.3
A,,B.1.3.1
A,,B.1.3.2
A,,B.1.3.3
A,,B.1.3.4
A,,B.1.5
A,,B.1.5.2
A,,B.1.5.5
A,,B.1.5.6
A,,B.1.5.11
A,,B.1.5.12
A,,B.1.5.13
A,,B.1.5.15
A,,B.1.5.16
A,,B.1.5.17
A,,B.1.5.18
A,,B.1.5.19
A,,B.1.5.21
A,,B.1.5.25
A,,B.1.5.26
A,,B.1.5.27
A,,B.1.5.28
A,,B.1.5.29
A,,B.1.5.30
A,,B.1.5.31
A,,B.1.5.32
A,,B.1.5.33
A,,B.1.5.34
A,,B.1.5.35
A,,B.1.5.36
A,,B.1.6
A,,B.1.8
A,,B.1.8.2
A,,B.1.9
A,,B.1.9.1
A,,B.1.9.2
A,,B.1.9.3
A,,B.1.9.4
A,,B.1.9.5
A,,B.1.9.6
A,,B.1.11
A,,B.1.12
A,,B.1.13
A,,B.1.14
A,,B.1.19
A,,B.1.21
A,,B.1.22
A,,B.1.22.1
A,,B.1.23
A,,B.1.25
A,,B.1.26
A,,B.1.34
A,,B.1.35
A,,B.1.36
A,,B.1.36.1
A,,B.1.36.2
A,,B.1.36.3
A,,B.1.36.4
A,,B.1.36.5
A,,B.1.36.6
A,,B.1.36.7
A,,B.1.36.8
A,,B.1.36.9
A,,B.1.36.10
A,,B.1.36.11
A,,B.1.36.12
A,,B.1.36.13
A,,B.1.36.14
A,,B.1.36.15
A,,B.1.36.16
A,,B.1.36.17
A,,B.1.36.17.1
A,,B.1.36.18
A,,B.1.36.19
A,,B.1.36.20
A,,B.1.36.21
A,,B.1.36.22
A,,B.1.36.23
A,,B.1.36.24
A,,B.1.36.25
A,,B.1.36.26
A,,B.1.36.27
A,,B.1.36.28
A,,B.1.36.29
A,,B.1.36.31
A,,B.1.36.33
A,,B.1.36.34
A,,B.1.36.35
A,,B.1.36.36
A,,B.1.36.37
A,,B.1.36.38
A,,B.1.36.39
A,,B.1.37
A,,B.1.38
A,,B.1.39
A,,B.1.40
A,,B.1.44
A,,B.1.67
A,,B.1.69
A,,B.1.70
A,,B.1.74
A,,B.1.75
A,,B.1.76
A,,B.1.77
A,,B.1.78
A,,B.1.79
A,,B.1.80
A,,B.1.81
A,,B.1.82
A,,B.1.83
A,,B.1.84
A,,B.1.88
A,,B.1.89
A,,B.1.90
A,,B.1.91
A,,B.1.93
A,,B.1.94
A,,B.1.95
A,,B.1.96
A,,B.1.97
A,,B.1.98
A,,B.1.102
A,,B.1.103
A,,B.1.104
A,,B.1.105
A,,B.1.106
A,,B.1.107
A,,B.1.108
A,,B.1.109
A,,B.1.110
A,,B.1.110.1
A,,B.1.110.2
A,,B.1.110.3
A,,B.1.111
A,,B.1.112
A,,B.1.113
A,,B.1.114
A,,B.1.115
A,,B.1.116
A,,B.1.117
A,,B.1.118
A,,B.1.119
A,,B.1.120
A,,B.1.124
A,,B.1.126
A,,B.1.127
A,,B.1.128
A,,B.1.131
A,,B.1.133
A,,B.1.134
A,,B.1.135
A,,B.1.136
A,,B.1.137
A,,B.1.138
A,,B.1.139
A,,B.1.140
A,,B.1.141
A,,B.1.142
A,,B.1.143
A,,B.1.144
A,,B.1.145
A,,B.1.146
A,,B.1.147
A,,B.1.149
A,,B.1.150
